,Gold,Crude Oil,Fed Funds Rate
2015-09-11,1103.5,44.630001068115234,0.14
2015-09-14,1107.699951171875,44.0,0.14
2015-09-15,1102.800048828125,44.59000015258789,0.14
2015-09-16,1119.199951171875,47.150001525878906,0.14
2015-09-17,1117.300048828125,46.900001525878906,0.14
2015-09-18,1138.0999755859375,44.68000030517578,0.14
2015-09-21,1133.0999755859375,46.68000030517578,0.14
2015-09-22,1125.0,45.83000183105469,0.14
2015-09-23,1131.5999755859375,44.47999954223633,0.14
2015-09-24,1153.800048828125,44.90999984741211,0.14
2015-09-25,1146.0,45.70000076293945,0.13
2015-09-28,1132.0,44.43000030517578,0.13
2015-09-29,1127.0999755859375,45.22999954223633,0.13
2015-09-30,1115.5,45.09000015258789,0.07
2015-10-01,1114.199951171875,44.7400016784668,0.13
2015-10-02,1137.0999755859375,45.540000915527344,0.13
2015-10-05,1138.0999755859375,46.2599983215332,0.13
2015-10-06,1146.800048828125,48.529998779296875,0.13
2015-10-07,1149.0,47.810001373291016,0.13
2015-10-08,1144.699951171875,49.43000030517578,0.13
2015-10-09,1156.300048828125,49.630001068115234,0.13
2015-10-12,1164.9000244140625,47.099998474121094,0.13
2015-10-13,1165.800048828125,46.65999984741211,0.13
2015-10-14,1180.0999755859375,46.63999938964844,0.13
2015-10-15,1187.9000244140625,46.380001068115234,0.13
2015-10-16,1183.5999755859375,47.2599983215332,0.13
2015-10-19,1173.300048828125,45.88999938964844,0.13
2015-10-20,1178.0,45.54999923706055,0.13
2015-10-21,1167.5999755859375,45.20000076293945,0.13
2015-10-22,1166.5999755859375,45.380001068115234,0.12
2015-10-23,1163.300048828125,44.599998474121094,0.12
2015-10-26,1167.0,43.97999954223633,0.12
2015-10-27,1166.800048828125,43.20000076293945,0.12
2015-10-28,1177.0999755859375,45.939998626708984,0.12
2015-10-29,1147.199951171875,46.060001373291016,0.12
2015-10-30,1141.5,46.59000015258789,0.07
2015-11-02,1135.800048828125,46.13999938964844,0.12
2015-11-03,1114.199951171875,47.900001525878906,0.12
2015-11-04,1106.5,46.31999969482422,0.12
2015-11-05,1104.4000244140625,45.20000076293945,0.12
2015-11-06,1087.5999755859375,44.290000915527344,0.12
2015-11-09,1087.9000244140625,43.869998931884766,0.12
2015-11-10,1088.199951171875,44.209999084472656,0.12
2015-11-11,1084.699951171875,42.93000030517578,0.12
2015-11-12,1080.800048828125,41.75,0.12
2015-11-13,1080.800048828125,40.7400016784668,0.12
2015-11-16,1083.699951171875,41.7400016784668,0.13
2015-11-17,1068.699951171875,40.66999816894531,0.13
2015-11-18,1068.800048828125,40.75,0.12
2015-11-19,1078.0,40.540000915527344,0.12
2015-11-20,1076.4000244140625,40.38999938964844,0.12
2015-11-23,1066.800048828125,41.75,0.12
2015-11-24,1074.300048828125,42.869998931884766,0.12
