Weights,PortfolioStandardDeviation,PortfolioReturn,PortfolioSharpeRatio,WeightsStringRepresent
"[0.0, 0.0, 0.1, 0.15, 0.75]",0.04761170179363401,0.446580770885166,8.95957831404805,"Weights: 0.0, 0.0, 0.1, 0.15, 0.75"
"[0.0, 0.0, 0.1, 0.2, 0.7]",0.04735476423209567,0.44436472568582924,8.961394541126387,"Weights: 0.0, 0.0, 0.1, 0.2, 0.7"
"[0.0, 0.0, 0.1, 0.25, 0.65]",0.04716500082000193,0.4421486804864925,8.950464818129841,"Weights: 0.0, 0.0, 0.1, 0.25, 0.65"
"[0.0, 0.0, 0.1, 0.3, 0.6000000000000001]",0.04704322446757002,0.43993263528715576,8.926527465748928,"Weights: 0.0, 0.0, 0.1, 0.3, 0.6000000000000001"
"[0.0, 0.0, 0.1, 0.35, 0.55]",0.0469899637512475,0.43771659008781894,8.889485259003404,"Weights: 0.0, 0.0, 0.1, 0.35, 0.55"
"[0.0, 0.0, 0.1, 0.4, 0.5]",0.04700545157173696,0.4355005448884821,8.839411834058643,"Weights: 0.0, 0.0, 0.1, 0.4, 0.5"
"[0.0, 0.0, 0.1, 0.45, 0.45]",0.047089620094711356,0.43328449968914534,8.776552005684186,"Weights: 0.0, 0.0, 0.1, 0.45, 0.45"
"[0.0, 0.0, 0.1, 0.5, 0.4]",0.04724210222828318,0.4310684544898086,8.701315883519419,"Weights: 0.0, 0.0, 0.1, 0.5, 0.4"
"[0.0, 0.0, 0.1, 0.55, 0.35]",0.04746223956276035,0.42885240929047175,8.614267111222961,"Weights: 0.0, 0.0, 0.1, 0.55, 0.35"
"[0.0, 0.0, 0.1, 0.6, 0.30000000000000004]",0.0477490963763727,0.42663636409113503,8.516105956977807,"Weights: 0.0, 0.0, 0.1, 0.6, 0.30000000000000004"
"[0.0, 0.0, 0.1, 0.65, 0.25]",0.04810147902392798,0.4244203188917982,8.40764831140889,"Weights: 0.0, 0.0, 0.1, 0.65, 0.25"
"[0.0, 0.0, 0.1, 0.7, 0.20000000000000007]",0.04851795979738449,0.42220427369246144,8.289801866609887,"Weights: 0.0, 0.0, 0.1, 0.7, 0.20000000000000007"
"[0.0, 0.0, 0.1, 0.75, 0.15000000000000002]",0.04899690419397773,0.41998822849312467,8.163540841469892,"Weights: 0.0, 0.0, 0.1, 0.75, 0.15000000000000002"
"[0.0, 0.0, 0.1, 0.8, 0.09999999999999998]",0.04953650045541193,0.41777218329378785,8.029880585767756,"Weights: 0.0, 0.0, 0.1, 0.8, 0.09999999999999998"
"[0.0, 0.0, 0.1, 0.85, 0.050000000000000044]",0.05013479024815204,0.41555613809445113,7.889853256322963,"Weights: 0.0, 0.0, 0.1, 0.85, 0.050000000000000044"
"[0.0, 0.0, 0.1, 0.9, 0.0]",0.05078969942975993,0.4133400928951143,7.744485541582846,"Weights: 0.0, 0.0, 0.1, 0.9, 0.0"
"[0.0, 0.0, 0.15, 0.0, 0.85]",0.04798594446051284,0.47829861563511744,9.550684492877844,"Weights: 0.0, 0.0, 0.15, 0.0, 0.85"
"[0.0, 0.0, 0.15, 0.05, 0.7999999999999999]",0.047557313645996885,0.4760825704357806,9.590166800226134,"Weights: 0.0, 0.0, 0.15, 0.05, 0.7999999999999999"
"[0.0, 0.0, 0.15, 0.1, 0.75]",0.0471933189737912,0.4738665252364439,9.617177496850742,"Weights: 0.0, 0.0, 0.15, 0.1, 0.75"
"[0.0, 0.0, 0.15, 0.15, 0.7]",0.046895465552463156,0.4716504800371071,9.631005358755509,"Weights: 0.0, 0.0, 0.15, 0.15, 0.7"
"[0.0, 0.0, 0.15, 0.2, 0.6499999999999999]",0.0466650198980403,0.4694344348377703,9.631077749881005,"Weights: 0.0, 0.0, 0.15, 0.2, 0.6499999999999999"
"[0.0, 0.0, 0.15, 0.25, 0.6]",0.04650298413939385,0.46721838963843354,9.616982606920134,"Weights: 0.0, 0.0, 0.15, 0.25, 0.6"
"[0.0, 0.0, 0.15, 0.3, 0.55]",0.046410074819320364,0.4650023444390968,9.58848582277751,"Weights: 0.0, 0.0, 0.15, 0.3, 0.55"
"[0.0, 0.0, 0.15, 0.35, 0.5]",0.04638670730589845,0.46278629923976,9.545542784914506,"Weights: 0.0, 0.0, 0.15, 0.35, 0.5"
"[0.0, 0.0, 0.15, 0.4, 0.44999999999999996]",0.04643298659049675,0.4605702540404232,9.488303173903375,"Weights: 0.0, 0.0, 0.15, 0.4, 0.44999999999999996"
"[0.0, 0.0, 0.15, 0.45, 0.39999999999999997]",0.04654870494251574,0.4583542088410864,9.417108582986828,"Weights: 0.0, 0.0, 0.15, 0.45, 0.39999999999999997"
"[0.0, 0.0, 0.15, 0.5, 0.35]",0.04673334654205183,0.45613816364174964,9.332483032202747,"Weights: 0.0, 0.0, 0.15, 0.5, 0.35"
"[0.0, 0.0, 0.15, 0.55, 0.29999999999999993]",0.046986098851634885,0.4539221184424128,9.23511696113742,"Weights: 0.0, 0.0, 0.15, 0.55, 0.29999999999999993"
"[0.0, 0.0, 0.15, 0.6, 0.25]",0.04730587015005308,0.45170607324307605,9.125845732753985,"Weights: 0.0, 0.0, 0.15, 0.6, 0.25"
"[0.0, 0.0, 0.15, 0.65, 0.19999999999999996]",0.0476913123649763,0.4494900280437393,9.005624017156414,"Weights: 0.0, 0.0, 0.15, 0.65, 0.19999999999999996"
"[0.0, 0.0, 0.15, 0.7, 0.15000000000000002]",0.0481408481293774,0.4472739828444025,8.87549761682872,"Weights: 0.0, 0.0, 0.15, 0.7, 0.15000000000000002"
"[0.0, 0.0, 0.15, 0.75, 0.09999999999999998]",0.04865270086253996,0.44505793764506574,8.736574334197716,"Weights: 0.0, 0.0, 0.15, 0.75, 0.09999999999999998"
"[0.0, 0.0, 0.15, 0.8, 0.04999999999999993]",0.04922492664195442,0.4428418924457289,8.589995380213336,"Weights: 0.0, 0.0, 0.15, 0.8, 0.04999999999999993"
"[0.0, 0.0, 0.15, 0.85, 0.0]",0.04985544668011482,0.4406258472463922,8.436908607904652,"Weights: 0.0, 0.0, 0.15, 0.85, 0.0"
"[0.0, 0.0, 0.2, 0.0, 0.8]",0.04724539300083031,0.5033683247870586,10.231015006660304,"Weights: 0.0, 0.0, 0.2, 0.0, 0.8"
"[0.0, 0.0, 0.2, 0.05, 0.75]",0.04684030550893117,0.5011522795877218,10.272184913396416,"Weights: 0.0, 0.0, 0.2, 0.05, 0.75"
